year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2017,NIC,ALL,7108,425090590.7,0.13%
2017,PAN,ALL,7108,77048649,0.023%
2017,TTO,ALL,7108,252308,0.000076%
2017,USA,ALL,7108,22029279874.08,6.7%
2017,VGB,ALL,7108,1876956,0.00057%
2017,ASM,ALL,7108,45051,0.000014%
2017,AUS,ALL,7108,29131545503.42,8.8%
2017,FJI,ALL,7108,57916783.65,0.017%
2017,NCL,ALL,7108,105989,0.000032%
2017,NZL,ALL,7108,418085102.83,0.13%
2017,PNG,ALL,7108,2109302504,0.64%
2017,SLB,ALL,7108,3263528.82,0.00099%
2017,ARG,ALL,7108,2207361072.87,0.67%
2017,BOL,ALL,7108,1035904644.45,0.31%
2017,BRA,ALL,7108,3226606432.29,0.97%
2017,CHL,ALL,7108,777628388.66,0.23%
2017,COL,ALL,7108,1446851012.35,0.44%
2017,ECU,ALL,7108,167284566.65,0.051%
2017,GUY,ALL,7108,848041915.1,0.26%
2017,PER,ALL,7108,7129928698.7,2.2%
2017,PRY,ALL,7108,40571214.09,0.012%
2017,SUR,ALL,7108,1808766087.6,0.55%
2017,URY,ALL,7108,49309075.03,0.015%
2017,VEN,ALL,7108,13689012,0.0041%



2016,AGO,ALL,7108,1230673,0.00036%
2016,BDI,ALL,7108,107112018,0.031%
2016,BEN,ALL,7108,379772900.71,0.11%
2016,BFA,ALL,7108,3018789465.83,0.87%
2016,CAF,ALL,7108,1620749.05,0.00047%
2016,CIV,ALL,7108,503149384,0.15%
2016,CMR,ALL,7108,350428413,0.10%
2016,COD,ALL,7108,40863517,0.012%
2016,COG,ALL,7108,45760861,0.013%
2016,COM,ALL,7108,1634286,0.00047%
2016,DJI,ALL,7108,5793880,0.0017%
2016,DZA,ALL,7108,6171923,0.0018%
2016,EGY,ALL,7108,2865843951.07,0.83%
2016,ERI,ALL,7108,96473979,0.028%
2016,ETH,ALL,7108,397864700,0.12%
2016,GAB,ALL,7108,52124723,0.015%
2016,GHA,ALL,7108,9410879037.89,2.7%
2016,GIN,ALL,7108,1541474586,0.45%
2016,GMB,ALL,7108,2085555,0.00060%
2016,GNB,ALL,7108,6010213,0.0017%
2016,GNQ,ALL,7108,2780833,0.00080%
2016,KEN,ALL,7108,34395661,0.0099%
2016,LBR,ALL,7108,229956169,0.066%
2016,LBY,ALL,7108,2859051285,0.83%
2016,MAR,ALL,7108,138094168.37,0.040%
2016,MDG,ALL,7108,143429347.89,0.041%
2016,MLI,ALL,7108,3486713629.29,1.0%
2016,MOZ,ALL,7108,102883948,0.030%
2016,MRT,ALL,7108,471874348.73,0.14%
2016,MUS,ALL,7108,1109755.78,0.00032%
2016,MWI,ALL,7108,82502268,0.024%
2016,NER,ALL,7108,188451714.8,0.054%
2016,NGA,ALL,7108,711064772,0.21%
2016,RWA,ALL,7108,178428468.86,0.052%
2016,SDN,ALL,7108,1780402436,0.51%
2016,SEN,ALL,7108,440345351.99,0.13%
2016,SLE,ALL,7108,3108176,0.00090%
2016,SOM,ALL,7108,58639420,0.017%
2016,SYC,ALL,7108,484748,0.00014%
2016,TCD,ALL,7108,167116891,0.048%
2016,TGO,ALL,7108,557171737.38,0.16%
2016,TUN,ALL,7108,1138041,0.00033%
2016,TZA,ALL,7108,2240674845.17,0.65%
2016,UGA,ALL,7108,707261101,0.20%
2016,ZAF,ALL,7108,20670665433.32,6.0%
2016,ZMB,ALL,7108,3285500,0.00095%
2016,ZWE,ALL,7108,896119803,0.26%
2016,AFG,ALL,7108,243803296,0.070%
2016,ARE,ALL,7108,26978571860.02,7.8%
2016,ARM,ALL,7108,270969831,0.078%
2016,AZE,ALL,7108,81930008.66,0.024%
2016,BGD,ALL,7108,610580,0.00018%
2016,BHR,ALL,7108,27447182.39,0.0079%
2016,CHN,ALL,7108,3631533847.4,1.0%
2016,CYP,ALL,7108,15331776.55,0.0044%
2016,GEO,ALL,7108,163677620,0.047%
2016,HKG,ALL,7108,29333912116.56,8.5%
2016,IDN,ALL,7108,1756320299.5,0.51%
2016,IND,ALL,7108,812822668.47,0.23%
2016,IRN,ALL,7108,123390441,0.036%
2016,IRQ,ALL,7108,2420917834,0.70%
2016,ISR,ALL,7108,236060135.8,0.068%
2016,JOR,ALL,7108,119185692.19,0.034%
2016,JPN,ALL,7108,8599152384.91,2.5%
2016,KAZ,ALL,7108,33401941.82,0.0097%
2016,KGZ,ALL,7108,155860616.66,0.045%
2016,KHM,ALL,7108,709718894.92,0.21%
2016,KOR,ALL,7108,1188436400.1,0.34%
2016,KWT,ALL,7108,20706556.02,0.0060%
2016,LAO,ALL,7108,207186380.08,0.060%
2016,LBN,ALL,7108,748489068.36,0.22%
2016,LKA,ALL,7108,384270,0.00011%
2016,MNG,ALL,7108,1533052893.73,0.44%
2016,MYS,ALL,7108,468129964.02,0.14%
2016,NPL,ALL,7108,2331,6.7e-7%
2016,OMN,ALL,7108,42014619.44,0.012%
2016,PAK,ALL,7108,91966821,0.027%
2016,PHL,ALL,7108,1932668745.09,0.56%
2016,PRK,ALL,7108,214350,0.000062%
2016,QAT,ALL,7108,23633947,0.0068%
2016,SAU,ALL,7108,837156160.15,0.24%
2016,SGP,ALL,7108,5537355478.15,1.6%
2016,SYR,ALL,7108,75819,0.000022%
2016,THA,ALL,7108,6941802969.12,2.0%
2016,TJK,ALL,7108,74346144,0.021%
2016,TKM,ALL,7108,1058946,0.00031%
2016,TUR,ALL,7108,12010522991.59,3.5%
2016,UZB,ALL,7108,2861265157,0.83%
2016,VNM,ALL,7108,2379629,0.00069%
2016,XXB,ALL,7108,396785789.91,0.11%
2016,YEM,ALL,7108,531243881,0.15%
2016,ALB,ALL,7108,1842991,0.00053%
2016,AND,ALL,7108,20973088,0.0061%
2016,AUT,ALL,7108,505695283.44,0.15%
2016,BGR,ALL,7108,21718597.97,0.0063%
2016,BIH,ALL,7108,498971,0.00014%
2016,BLR,ALL,7108,788544,0.00023%
2016,BLX,ALL,7108,1815554440.37,0.52%
2016,CHE,ALL,7108,67367383203.68,19%
2016,CZE,ALL,7108,119246046.11,0.034%
2016,DEU,ALL,7108,5016773251.15,1.5%
2016,DNK,ALL,7108,21790643.96,0.0063%
2016,ESP,ALL,7108,1431612195.27,0.41%
2016,EST,ALL,7108,64856829.69,0.019%
2016,FIN,ALL,7108,409938867.86,0.12%
2016,FRA,ALL,7108,2471205574.29,0.71%
2016,GBR,ALL,7108,14919687058.56,4.3%
2016,GRC,ALL,7108,44088390.1,0.013%
2016,HRV,ALL,7108,62695177.61,0.018%
2016,HUN,ALL,7108,148063160.36,0.043%
2016,IRL,ALL,7108,17179573.43,0.0050%
2016,ISL,ALL,7108,1106,3.2e-7%
2016,ITA,ALL,7108,2811897979.64,0.81%
2016,LTU,ALL,7108,34899239.57,0.010%
2016,LVA,ALL,7108,82427007.8,0.024%
2016,MDA,ALL,7108,416338.8,0.00012%
2016,MKD,ALL,7108,1083898,0.00031%
2016,MLT,ALL,7108,10037653.3,0.0029%
2016,NLD,ALL,7108,1262578825.46,0.36%
2016,NOR,ALL,7108,128187683.93,0.037%
2016,POL,ALL,7108,487370953.93,0.14%
2016,PRT,ALL,7108,252154799.31,0.073%
2016,ROU,ALL,7108,128725957,0.037%
2016,RUS,ALL,7108,1971339174.82,0.57%
2016,SRB,ALL,7108,28712895.08,0.0083%
2016,SVK,ALL,7108,70817291.5,0.020%
2016,SVN,ALL,7108,31175307.74,0.0090%
2016,SWE,ALL,7108,472768565.8,0.14%
2016,UKR,ALL,7108,2677676,0.00077%
2016,ABW,ALL,7108,150759730.71,0.044%
2016,ATG,ALL,7108,87190,0.000025%
2016,BHS,ALL,7108,225026,0.000065%
2016,BLZ,ALL,7108,7367,0.0000021%
2016,BMU,ALL,7108,74482,0.000022%
