year,country_origin_id,import_val,import_val_pct
2016,NZL,3032,0.0000035
2016,ARG,1032754193,1.2
2016,BOL,810829.14,0.00093
2016,BRA,619125717.23,0.71
2016,CHL,464913965.99,0.53
2016,COL,456863547.42,0.52
2016,ECU,10823091.86,0.012
2016,GUY,28686569.15,0.033
2016,PER,2362314351.2,2.7
2016,SUR,484359330,0.56
2016,URY,42572646.92,0.049
2016,VEN,2908298750,3.3
2015,BEN,40934272.1,0.056
2015,BFA,2004480276.6,2.8
2015,CIV,475110761.17,0.65
2015,COD,57392,0.000079
2015,EGY,5497367,0.0076
2015,ETH,576504659,0.79
2015,GAB,45967727,0.063
2015,GHA,1304356696,1.8
2015,GIN,53032121.2,0.073
2015,LBR,19511218,0.027
2015,MAR,21263041.43,0.029
2015,MLI,486131560,0.67
2015,MOZ,9140044,0.013
2015,MRT,254052928,0.35
2015,NER,70523256,0.097
2015,NGA,4254770,0.0059
2015,SEN,220857531.57,0.30
2015,SLE,191869,0.00026
2015,TGO,64676111.63,0.089
2015,TZA,132362569.7,0.18
2015,ZAF,1779524758,2.4
2015,ARE,2953924882,4.1
2015,ARM,91504,0.00013
2015,AZE,88653447,0.12
2015,CHN,546270,0.00075
2015,CYP,5012940,0.0069
2015,HKG,832095733.17,1.1
2015,IDN,407168857,0.56
2015,IND,44535921.79,0.061
2015,ISR,25041281.47,0.034
2015,JPN,330781430.55,0.46
2015,KAZ,18786442,0.026
2015,KGZ,439398089.66,0.60
2015,KHM,1909465,0.0026
2015,KOR,19070703.32,0.026
2015,LBN,42634553,0.059
2015,MNG,504375165,0.69
2015,MYS,110241388.72,0.15
2015,PHL,339711825.89,0.47
2015,SAU,72756835.67,0.10
2015,SGP,198070325.34,0.27
2015,THA,1565288299.5,2.2
2015,TJK,139798089,0.19
2015,TUR,4694091263.7,6.5
2015,UZB,1881381829,2.6
2015,VNM,13333667.75,0.018
2015,XXB,1146.41,0.0000016
2015,AUT,42816874.5,0.059
2015,BLR,7218681,0.0099
2015,BLX,976445677.76,1.3
2015,CZE,43560657.06,0.060
2015,DEU,2432659589.14,3.3
2015,ESP,141419119.87,0.19
2015,EST,165213.22,0.00023
2015,FIN,290904197,0.40
2015,FRA,1693913279.67,2.3
2015,GBR,24982626758.2,34
2015,GRC,535187,0.00074
2015,HUN,10117255.48,0.014
2015,IRL,1578234.61,0.0022
2015,ITA,2227870033.35,3.1
2015,NLD,452976.74,0.00062
2015,NOR,75913161.91,0.10
2015,POL,79772001,0.11
2015,PRT,17977075.41,0.025
2015,ROU,74296,0.00010
2015,RUS,1176814464.8,1.6
2015,SWE,492085085.2,0.68
2015,UKR,7667550.81,0.011
2015,CAN,463812369.54,0.64
2015,CUW,361680502,0.50
2015,DOM,48098248.16,0.066
2015,MEX,612320203.66,0.84
2015,PAN,38232842,0.053
2015,USA,6741701078.28,9.3
2015,VGB,1767246,0.0024
2015,AUS,259608611.35,0.36
2015,ARG,1186318357.1,1.6
2015,BOL,7905985.22,0.011
2015,BRA,959188878.28,1.3
2015,CHL,502961916.54,0.69
2015,COL,520975223.5,0.72
2015,ECU,28089050.11,0.039
2015,PER,2653034226.8,3.7
2015,SUR,358556915,0.49
2015,URY,59051580.94,0.081
2015,VEN,881515328,1.2
2014,BEN,86415540.12,0.12
2014,BFA,1795169440.2,2.5
2014,CIV,415294432.41,0.57
